Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2697,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MS SHUKLA TRADERS,Payment Success,31830
2698,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169535,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2699,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169536,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2700,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169537,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2701,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169538,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2702,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169627,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2703,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169628,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2704,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169635,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2705,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169624,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2706,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169616,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2707,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169606,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2708,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169608,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
2709,Odisha,Construction of public libraries and reading rooms,WS/MP138/2025-2026/211098,PURI(DISTRICT COLLECTOR PURI_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,,NILIMA MOHANTY,Payment Success,349430
2710,Odisha,Construction of public libraries and reading rooms,WS/MP138/2025-2026/211098,PURI(DISTRICT COLLECTOR PURI_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,,NILIMA MOHANTY,Payment Success,150000
2711,Karnataka,"Purchase of smart boards, visual display units and projectors",WS/MP838/2025-2026/169595,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,,BLUESKART ECOMMERCE PRIVATE LIMITED,Payment Success,125657
