Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
2807,Normal/Others,WS/MP141/2023-2024/80681-Installation of multi-gym equipment,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Installation of multi-gym equipment,2024-01-12,300000,2024-02-05
2808,Normal/Others,WS/MP141/2023-2024/80682-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,PANCHAT GHAR,2024-01-12,1000000,2024-02-05
2809,Normal/Others,WS/MP141/2023-2024/80683-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,VALMIK DHARAMSHALA,2024-01-12,300000,2024-02-05
2810,Normal/Others,WS/MP141/2023-2024/80684-Installation of multi-gym equipment,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Installation of multi-gym equipment,2024-01-12,300000,2024-02-05
2811,Normal/Others,WS/MP141/2023-2024/80685-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,VALMIK DHARAMSHALA,2024-01-12,499100,2024-02-05
2812,Normal/Others,WS/MP141/2023-2024/80688-Construction of stadiums,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,construction of stadium,2024-01-12,1000000,2024-02-22
2813,Normal/Others,WS/MP141/2023-2024/80689-Construction of stadiums,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,construction of stadium,2024-01-12,1000000,2024-02-28
2814,Normal/Others,WS/MP141/2023-2024/80690-Construction of stadiums,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Construction of stadiums,2024-01-12,1000000,2024-02-28
2815,Normal/Others,WS/MP141/2023-2024/80691-Construction of stadiums,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Construction of stadiums,2024-01-12,250000,2024-02-13
2816,Normal/Others,WS/MP141/2023-2024/80692-Street lights,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,street lights,2024-01-12,490200,2024-03-07
