Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
626,Normal/Others,"WS/MP015/2023-2024/11905-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Shri R. Dharmar (2022-28) (2022-2028),Elected MP,Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.610 M to 665 M (2022-2023),2023-08-21,2495894,2023-09-23
627,Normal/Others,"WS/MP015/2023-2024/11906-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Shri R. Dharmar (2022-28) (2022-2028),Elected MP,Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.670 M to 725 M (2022-2023),2023-08-21,2495894,2023-10-19
628,Normal/Others,WS/MP202/2023-2024/12148-Improvement of electricity distribution infrastructure,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Alaiya Me Gyan Chandra Ke Ghar Ke Nikat 03 Pole EVm 10 KVA Transformer Ka Karya,2023-08-22,101500,2023-11-10
629,Normal/Others,WS/MP202/2023-2024/12149-Improvement of electricity distribution infrastructure,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram amawan Me 10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya,2023-08-22,77700,2023-11-10
630,Normal/Others,WS/MP202/2023-2024/12150-Improvement of electricity distribution infrastructure,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Baharpur Me 10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya,2023-08-22,84600,2023-11-10
631,Normal/Others,WS/MP202/2023-2024/12151-Improvement of electricity distribution infrastructure,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Pure Kodai Faridabad Me Rajmani Tripathi Ke Ghar Ke Pass 25 KVA Transformer EVM 350 Meter 11 KVA Ki Line Ka Karya,2023-08-22,232000,2023-11-10
632,Normal/Others,WS/MP202/2023-2024/12152-Improvement of electricity distribution infrastructure,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Bhilampur Me Pankaj Singh Ke Ghar Ke Pass 10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya,2023-08-22,78100,2023-11-10
633,Normal/Others,WS/MP202/2023-2024/12153-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Barsathi Gram Baburi Belaunakla Me Birendra Singh S/O Manish Singh Ke Ghar Ke Pass 04 Nag Wali 18 watt Solar High Mast karya,2023-08-22,125000,2023-09-30
634,Normal/Others,WS/MP202/2023-2024/12154-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Suithkala Gram Bansgaon Me Jatasankar MishraS/O Adhya Prasad Mishra Ke Ghar Ke Pass 04 Nag Wali 18 watt Solar High Mast karya,2023-08-22,125000,2023-09-30
635,Normal/Others,WS/MP202/2023-2024/12155-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Shirkoni Gram Husepur Me Shree Raj Rajeshwari Mahavidyalay Ke nikat 12.5 meter 10 Nag Wali Electric High Mast Ka karya Mo no 9838896666,2023-08-22,625923,2023-09-30
636,Normal/Others,WS/MP202/2023-2024/12156-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Mungrabadsahpur Gram Raypur Ukani Me Raghav Mahila Mahavidyalay Ke nikat 12.5 meter 10 Nag Wali Electric High Mast Ka karya,2023-08-22,625923,2023-09-30
637,Normal/Others,"WS/MP202/2023-2024/12157-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Ke Gawn Unchgawn Road Se Addopur satish Dubey Ke Ghar Tak 180 Meter InterLOcking Ka Karya,2023-08-22,834812,2023-09-25
638,Normal/Others,"WS/MP202/2023-2024/12158-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Ke Gawn bhatauli Prathamik Vidhyalay se Rasile/Vinay Dubey Ke Ghar Tak Awasesh InterLocking Ka Karya,2023-08-22,810785,2023-09-25
639,Normal/Others,WS/MP202/2023-2024/12159-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Ma Shitla Chaukiya Devchandrapur Ward no 32 me 12.5 Meter 10 Nag Electric High Mast Ka Karya,2023-08-22,625923,2023-09-30
640,Normal/Others,WS/MP202/2023-2024/12160-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Polytchnic Chauraha Nikat Lohiya Park Ward no 09 me 12.5 Meter 10 Nag Electric High Mast Ka Karya,2023-08-22,625923,2023-09-30
641,Normal/Others,WS/MP202/2023-2024/12161-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Jila Chikitsalay Jaunpur Me Ward no 13 me 12.5 Meter 10 Nag Electric High Mast Ka Karya,2023-08-22,625923,2023-09-30
642,Normal/Others,WS/MP202/2023-2024/12162-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Postmartum House Par Sipah Nikat Prasad Institute Jaunpur Me Ward no 39 Chachakpur me 12.5 Meter 10 Nag Electric High Mast Ka Karya,2023-08-22,625923,2023-09-30
643,Normal/Others,WS/MP202/2023-2024/12163-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,NIbhapur Railway Station ward no 01 Me 12.5 meter 10 Nag Wali Electric High Mast Ka karya,2023-08-22,625923,2023-09-30
644,Normal/Others,WS/MP202/2023-2024/12164-Construction of toilet blocks,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,B R P Inter Collage Jaunpur Me Mahila Sauchalay Ka Nirman Karya,2023-08-22,435735,2023-09-25
645,Normal/Others,WS/MP202/2023-2024/12165-Lighting of public spaces,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Maihar Devi Mandir ke Nikat 12.5 meter 10 Nag Wali Electric High Mast Ka karya,2023-08-22,625923,2023-09-30
646,Normal/Others,"WS/MP106/2023-2024/12510-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,MORENA(DISTRICT COLLECTOR MORENA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Construction of C C Road, Gram Kakardha, Gram Panchayat Urhera, Janpad Panchayat Joura, Morena",2023-08-23,500000,2024-01-31
647,Normal/Others,WS/MP192/2023-2024/12592-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Installation of Multy-Gym Equipment- Nagar palika parishad Bulandshahr ke word no. 24, mohalla Amba colonyFlats ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD. Sampark- Smt. Deepti Mittal-9412229023",2023-08-23,724620,2023-10-30
648,Normal/Others,WS/MP192/2023-2024/12593-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Installation of Multy-Gym Equipment- Nagar palika parishad Bulandshahr ke word no, 02 Mohalla Shanti Niketan Chota park pass. Working Agency- Provincial Co-Operative Construction And Development LTD.",2023-08-23,757062,2023-10-30
649,Normal/Others,WS/MP192/2023-2024/12594-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Installation of Multy-Gym Equipment- Nagar palika parishad Bulandshahr ke Word no. 03, mohalla yamunapuram.shiv Mandir wala park ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD.",2023-08-23,774002,2023-10-30
650,Normal/Others,WS/MP192/2023-2024/12595-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Installation of Multy-Gym Equipment- Nagar palika parishad Bulandshahr ke Word no.15, Mohalla Dm colony Mandir wala park. Working Agency- Provincial Co-Operative Construction And Development LTD",2023-08-23,766982,2023-10-30
651,Normal/Others,WS/MP192/2023-2024/12596-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Installation of Multy-Gym Equipment- Nagar palika parishad Bulandshahr ke Ward no.17, mohalla Awas Vikas2-II pipal wala park ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD.",2023-08-23,766982,2023-10-30
652,Normal/Others,WS/MP192/2023-2024/12599-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Installation of Multy-Gym Equipment- Nagar palika parishad Khurja me chandralok colony park ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD. Contact-Anjana Singhal-9897039968,2023-08-23,760215,2023-10-30
653,Normal/Others,WS/MP192/2023-2024/12600-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Installation of Multy-Gym Equipment- Nagar palika parishad Khurja me panchvati park ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD.,2023-08-23,743335,2023-10-30
654,Normal/Others,WS/MP192/2023-2024/12603-Installation of multi-gym equipment,Uttar Pradesh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Installation of Multy-Gym Equipment- Nagar palika parishad Khurja me Awas Vikas Park ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD,2023-08-23,759216,2023-10-30
655,Normal/Others,"WS/MP146/2023-2024/12652-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,"Construction of CC/Interlocking from the residence of Bhaukri via Hareram Bairwa residence to Balai ki Dhani, Village Bhandodi, Malkheda, Alwar",2023-08-24,985431,2024-01-15
656,Normal/Others,"WS/MP146/2024-2025/12654-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,"Construction of CC Road/Interlocking in Bairwa Basti, Village Dangarwada, Gram Panchayat Nayagaon Baulka, Dist. Alwar",2023-08-24,994563,2024-07-31
657,Normal/Others,WS/MP146/2024-2025/12655-Construction of rooms and halls in school and colleges,Rajasthan,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,"Construction of Class Rooms at Government Higher/Primary School Trisangia at Gram Panchayat Sargoth Padampura, Kuchaman City, Nagaur",2023-08-24,999390,2024-10-04
658,Normal/Others,WS/MP198/2023-2024/12656-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,GRAM SIMRA TALUKA MAHARAJPUR BLOCK PURNPUR ME CHUKA BAZAR ME SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
659,Normal/Others,WS/MP198/2023-2024/12657-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,GRAM AARAJI CHART URF TANDOLA BLOCK MARORI ME SHRI OMKAR S/O RAMU KE GHAR KE PASS SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
660,Normal/Others,WS/MP198/2023-2024/12658-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,WARD NO. 7 NAGAR PALIKA PARISHAD PILIBHIT ME SHRIMATI ANURADHA VERMA W/O NARESH VERMAKE MAKAN KE PASS SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
661,Normal/Others,WS/MP198/2023-2024/12659-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,WARD NO. 7 PATHARIYA NOGMA ME SHARDA HOSPITAL KE SAMNE SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
662,Normal/Others,WS/MP198/2023-2024/12660-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,GRAM BHANGADANDI BLOCK AMRIYA ME PRATHMIK VIDHYALY KE SAMNE SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
663,Normal/Others,WS/MP198/2023-2024/12661-Lighting of public spaces,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Ramji (2020-26) (2020-2026),Elected MP,WARD NO. 5 ME ZILADHIKARI NIWAS KE PASS SEMI HIGH MAST LIGHT (06 LIGHTO WALI) KARYDAYI SANSTHA PCCD BAREILLY,2023-08-24,283000,2023-09-22
664,Normal/Others,"WS/MP187/2023-2024/12666-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,"Construction of interlocking tiles to Eidgah via Qabristan, 200 mts. c/o Shri Afsar Rizvi Ex state secretary SP.",2023-08-24,1500000,2023-12-29
665,Normal/Others,"WS/MP001/2023-2024/12725-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,999553,2023-10-06
666,Normal/Others,"WS/MP001/2023-2024/12726-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,799941,2023-10-06
667,Normal/Others,"WS/MP001/2023-2024/12727-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,599962,2023-10-06
668,Normal/Others,"WS/MP001/2023-2024/12794-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,1484400,2023-09-12
669,Normal/Others,"WS/MP001/2023-2024/12795-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,1484894,2023-09-12
670,Normal/Others,"WS/MP001/2023-2024/12796-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,1484974,2023-09-12
671,Normal/Others,"WS/MP001/2023-2024/12797-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,,2023-08-24,1484900,2023-09-12
672,Normal/Others,WS/MP839/2023-2024/13023-Construction of community centers and community halls,Jammu And Kashmir,JAMMU(DEPUTY COMMISSIONER JAMMU_IDA),Shri Gulam Ali (2022-28) (2022-2028),Nominated MP,Upgradtion of main dome of fiber sheets(uv protected sheets),2023-08-25,1906475,2023-10-30
673,Normal/Others,WS/MP192/2023-2024/13218-Construction of rooms and halls in school and colleges,Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Nehru Smarak Inter College Sakhipur G.Noida Gautambudha Nagar. Construction of room And halls in School. Contact- Shri Vijendra Bhati 9911626113,2023-08-26,500000,2024-03-15
674,Normal/Others,"WS/MP192/2023-2024/13222-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Cc Road woek . 112mrt Village.Bahpur me panchayatghar se Falavada Road ki taraf. District Urban Development Agency. Muzaffarnagar. Contact-Sh. Sanjeev Balyan ji 01123380379, 09219583101",2023-08-26,900000,2023-12-16
675,Normal/Others,"WS/MP192/2023-2024/13223-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road -150 mtr Village. Tulsipur me karam singh ka makan ms naresh ke makan tak. 77mtr. Or naresh Pradhan ke ghar ke pass chourah se Shovir,2023-08-26,1000000,2023-12-16
676,Normal/Others,"WS/MP192/2023-2024/13224-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Villagae- Buwara Khurd me shmshan ghat ki char diwari. District Urban Development Agency. Muzaffarnagar,2023-08-26,1000000,2023-12-16
677,Normal/Others,"WS/MP192/2023-2024/13225-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road-148 mrt Village kadli me Sarkari school se shmsham ghat ki taraf sukhvir ke khet tak. District Urban Development Agency. Muzaffarnagar.,2023-08-26,1200000,2023-12-16
678,Normal/Others,"WS/MP192/2023-2024/13226-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. 132mrt Village. Khera Chaogawan majara nithari me harfool ke makan se Ramvir ke makan tak.. District Urban Development Agency. Muzaffarnagar.,2023-08-26,900000,2023-12-16
679,Normal/Others,"WS/MP187/2023-2024/13246-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction interlocking tiles from the house Shri Puran to Shri Dharampal,2023-08-26,1300000,2023-11-22
680,Normal/Others,"WS/MP187/2023-2024/13247-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of interlocking tiles from the house of Shri Malkhan Singh Advocate to the house of Shri Pintoo,2023-08-26,1000000,2023-11-22
681,Normal/Others,"WS/MP187/2023-2024/13248-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of interlocking tiles From the house of Shri Rizwan Ex Pradhan to the house of Shri Ahsan via the house of Shri Irshad,2023-08-26,700000,2023-12-07
682,Normal/Others,"WS/MP192/2023-2024/13276-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. 114 mrt. Sanpli me kulveer ke ghar se prathmik school tak. Rural Engineering Depatment Saharanpur,2023-08-26,915616,2023-12-14
683,Normal/Others,"WS/MP192/2023-2024/13277-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. 124 mrt. Saurana me Ambala Road se Madan ke ghar tak. Rural Engineering Depatment Saharanpur.,2023-08-26,1118557,2023-12-14
684,Normal/Others,"WS/MP192/2023-2024/13278-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. 140 mrt. Bahadarpur me main Road se Bhumika khera tak. Rural Engineering Depatment Saharanpur.,2023-08-26,863968,2023-12-19
685,Normal/Others,WS/MP192/2023-2024/13279-Construction of buildings for community cultural activities,Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. shmshanghat. Jagheta Guzzar me shmshanghat ki chat or Soundarya karan ka nirmar. Contact- Lokesh gujjar 8273980426,2023-08-26,500153,2023-12-14
686,Normal/Others,"WS/MP192/2023-2024/13280-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Cc Road. 112 mrt. Kulheri me Sandeep ke ghar se shmshanghat ki taraf. Rural Engineering Depatment Saharanpur. Contact-Sh. Mukesh Choudhary mla-9997343343,2023-08-26,599303,2023-12-14
687,Normal/Others,WS/MP192/2023-2024/13329-Lighting of public spaces,Uttar Pradesh,AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,"Lighting of public spaces.(six light wali) , Village khandsal kalan me chamunda ke pass. Working Agency- PROVINCIAL CO-OPERATIVE CNSTRUCTION AND DEVELOPMENT LTD.",2023-08-26,167254,2023-09-27
688,Normal/Others,"WS/MP078/2023-2024/13332-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,c/o L/R from Nature Park to Village Sharai G.P. Mashobra Dev. Block mashobra Teh. & Distt. Shimla H.P.,2023-08-26,1000000,2024-01-17
689,Normal/Others,WS/MP078/2023-2024/13375-Street lights,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"Providing and Fixing of 02 Nos of Solar Light near the house of Gaffur Mohammad Vill. Beha, GP Pansai, Dev. Block Nadaun Distt. Hamirpur (HP) as per recomendation of Gaffur Mohammad",2023-08-26,35386,2023-12-23
690,Normal/Others,WS/MP192/2023-2024/13376-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Vivekanand H.S. Gothara Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. contact-surajpal Singh 9760093804,2023-08-26,469982,2024-02-02
691,Normal/Others,WS/MP192/2023-2024/13377-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Adarsh Inter College gadi kalanjari Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
692,Normal/Others,WS/MP192/2023-2024/13378-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Shri gopal Singh H.S.Bhagot Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
693,Normal/Others,WS/MP192/2023-2024/13379-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Riyal Arya H.S. rataul Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
694,Normal/Others,WS/MP192/2023-2024/13380-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Sarvodaya Inter College Pabla begmabad Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
