"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"287","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/185341","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","28-Aug-2026","EMF","Payment In-Progress","163"
"288","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225342","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","06-Aug-2026","Yashika Construction Co","Payment In-Progress","868500"
"289","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18100/2025-2026/206194","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","27-Aug-2026","Gram panchayat Rajna","Payment In-Progress","240000"
"290","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP728/2026-2027/299266","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","20-Aug-2026","JODHPUR VIDYUT VITARAN NIGAM LTD","Payment In-Progress","151449"
"291","Gujarat","Providing drains and gutters for public drainage","WS/MP18055/2026-2027/275220","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","24-Aug-2026","SONIPUR GRAM PANCHAYAT New","Payment In-Progress","497849"
"292","Gujarat","Construction of footpaths and pedestrian ways","WS/MP18055/2026-2027/276544","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","24-Aug-2026","SONIPUR GRAM PANCHAYAT New","Payment In-Progress","248748"
"293","Rajasthan","Development of playground","WS/MP18164/2025-2026/259491","GANGANAGAR(Zilla GANGANAGAR)","KULDEEP INDORA","GANGANAGAR(SC)","17-Aug-2026","Param Enterprises","Payment In-Progress","96454"
"294","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2026-2027/259745","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","18-Aug-2026","ASSISTANT ENGINEER HAYAGHAT","Payment In-Progress","695688"
"295","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/290510","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT SURELA KISHOR SFC","Payment In-Progress","125000"
"296","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","EMF","Payment In-Progress","232"
"297","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/226384","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","29-Aug-2026","EMF","Payment In-Progress","17"
"298","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18042/2026-2027/259761","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","28-Aug-2026","PAVAN KUMARI DEVI","Payment In-Progress","598388"
"299","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18042/2026-2027/259772","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","27-Aug-2026","PAVAN KUMARI DEVI","Payment In-Progress","696543"
"300","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2025-2026/225529","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","75000"
"301","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2026-2027/284065","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","100000"
"302","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP356/2026-2027/277509","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","100000"
"303","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2026-2027/284014","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","100000"
"304","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2026-2027/295201","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","75000"
"305","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2026-2027/294976","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Sudheer Gupta","MANDSOUR","27-Aug-2026","CEO JANPAD PANCHAYAT SITAMAU","Payment In-Progress","125000"
"306","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/234719","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","14-Aug-2026","DIVYANSHU CONSTRUCTION","Payment In-Progress","270155"
