"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2556","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Lakhvir Kaur Sarpanch","Payment In-Progress","18082"
"2557","Punjab","Construction of community centers and community halls","WS/MP18311/2025-2026/272271","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","28-Aug-2026","Kang Iron Cement Store","Payment In-Progress","232828"
"2558","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","DMF BOUDH","Payment In-Progress","765"
"2559","Maharashtra","Construction of common work sheds/ common covered sitting area","WS/MP692/2026-2027/290006","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","28-Aug-2026","SAMARTHA ENTERPRISES","Payment In-Progress","996501"
"2560","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP692/2026-2027/183341","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","28-Aug-2026","SAMARTHA ENTERPRISES","Payment In-Progress","998723"
"2561","Gujarat","Installing tube-wells and borewells","WS/MP578/2025-2026/224056","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KHOKHARAUMAR GROUP GRAM PANCHAYAT","Payment In-Progress","100000"
"2562","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18005/2025-2026/235659","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Krishna Prasad Tenneti","BAPATLA","18-Aug-2026","KATTA PRASANNA KUMAR","Payment In-Progress","999468"
"2563","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/214191","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment In-Progress","285506"
"2564","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/196252","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment In-Progress","693442"
"2565","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271969","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2566","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271970","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2567","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271971","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2568","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271972","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2569","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271973","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2570","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271974","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2571","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271975","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2572","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271976","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2573","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271977","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2574","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271978","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2575","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271979","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2576","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271980","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2577","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271981","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2578","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271982","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2579","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271983","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2580","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271984","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2581","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271985","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2582","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271986","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2583","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271987","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2584","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271988","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2585","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271989","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2586","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271990","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2587","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271991","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2588","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271992","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2589","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271993","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2590","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271994","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2591","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271995","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2592","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271996","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2593","Uttar Pradesh","Lighting of public spaces","WS/MP18227/2025-2026/271997","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DAROGA PRASAD SAROJ","LALGANJ (SC)","21-Aug-2026","Krishna Kumar Contractor","Payment In-Progress","260974"
"2594","Madhya Pradesh","Construction of community centers and community halls","WS/MP18109/2026-2027/205624","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","21-Aug-2026","Sonu Singh","Payment In-Progress","249728"
"2595","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Amir Khan","Payment In-Progress","10056"
"2596","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203945","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","21-Aug-2026","Chidiya Khan","Payment In-Progress","10056"
"2597","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256261","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","RAGHAVENDRA I NARAGATTI","Payment In-Progress","375000"
"2598","Telangana","Installing tube-wells and borewells","WS/MP18193/2025-2026/250168","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","EATALA RAJENDER","MALKAJGIRI","19-Aug-2026","Quality Contractors","Payment In-Progress","327469"
"2599","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/256273","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-Aug-2026","BASAVARAJ MAHANTESH PATIL","Payment In-Progress","375000"
"2600","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2025-2026/229779","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","20-Aug-2026","PUSALAPATI CHINNA KONDAIAH","Payment In-Progress","511985"
"2601","Rajasthan","Development of playground","WS/MP18164/2025-2026/259491","GANGANAGAR(Zilla GANGANAGAR)","KULDEEP INDORA","GANGANAGAR(SC)","26-Aug-2026","JASAKARAN","Payment In-Progress","26531"
"2602","West Bengal","Setting up of kitchen and pantries","WS/MP829/2025-2026/206046","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","ULUBERIA","19-Aug-2026","RAHAMAN ENTERPRISE","Payment In-Progress","328709"
"2603","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/254137","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KEVDI GROUP GRAM PANCHAYAT","Payment In-Progress","200000"
"2604","Assam","Construction of community centers and community halls","WS/MP538/2025-2026/223632","TAMULPUR(IDA Tamulpur)","Dilip Saikia","Darrang-Udalguri","24-Aug-2026","DIPTI ENTERPRISE","Payment In-Progress","120703"
"2605","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/270689","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","20-Aug-2026","Junior Engineer III","Payment In-Progress","250000"
"2606","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/263161","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","20-Aug-2026","Junior Engineer III","Payment In-Progress","250000"
"2607","Karnataka","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18083/2026-2027/267996","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","19-Aug-2026","SHRAVAN KUMAR SHETTY","Payment In-Progress","499162"
"2608","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2026-2027/299572","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","27-Aug-2026","Rajindera BKO","Payment In-Progress","319800"
"2609","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/232551","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment In-Progress","785489"
"2610","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/206243","MORBI(District collector Morbi_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","21-Aug-2026","Nanjibhai Devshibhai Makvana","Payment In-Progress","384720"
"2611","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2026-2027/261343","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","24-Aug-2026","Swarna Narendra Kumar","Payment In-Progress","498359"
"2612","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2026-2027/299572","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","27-Aug-2026","KHEHRA TRADING COMPANY","Payment In-Progress","178830"
"2613","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP18054/2026-2027/244860","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","24-Aug-2026","SIX FILTERS TECHNOLOGY","Payment In-Progress","56000"
"2614","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/178543","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","24-Aug-2026","Sukhdev balai","Payment In-Progress","31000"
"2615","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/197241","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","21-Aug-2026","TAVITI NAIDU REDDY","Payment In-Progress","500000"
"2616","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP389/2025-2026/213677","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","27-Aug-2026","SHRISHYAM ENTERPRISE","Payment In-Progress","412534"
"2617","Assam","Construction of community centers and community halls","WS/MP18025/2026-2027/230786","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","27-Aug-2026","ANITA RAJPUT KUMAR","Payment In-Progress","310056"
"2618","Assam","Construction of public toilets and bathrooms","WS/MP18025/2025-2026/230634","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","28-Aug-2026","ANITA RAJPUT KUMAR","Payment In-Progress","143084"
"2619","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2026-2027/276653","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","21-Aug-2026","JASVANTPURA GRAM PANCHAYAT","Payment In-Progress","200000"
"2620","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP316/2025-2026/221396","SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","21-Aug-2026","KUBER PRASAD","Payment In-Progress","796239"
"2621","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP710/2025-2026/149889","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Vaithilingam Ve","Puducherry","25-Aug-2026","Anbarasan G","Payment In-Progress","1229867"
"2622","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18183/2025-2026/253716","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","25-Aug-2026","KARTHIK P","Payment In-Progress","576388"
"2623","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Shankar lal Gadri","Payment In-Progress","7410"
"2624","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Parmanand","Payment In-Progress","7410"
"2625","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Mahaveer Kumawat","Payment In-Progress","7410"
"2626","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Mahaveer Parsad Mali","Payment In-Progress","18400"
"2627","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Chotu Regar","Payment In-Progress","7410"
"2628","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/253239","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","28-Aug-2026","SELMA EKKA","Payment In-Progress","400000"
"2629","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Badri Kumhar","Payment In-Progress","7410"
"2630","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Debi lal Gujar","Payment In-Progress","10400"
"2631","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Prahlad Kumawat","Payment In-Progress","7410"
"2632","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","BRAHMANANDA SAHOO","Payment In-Progress","692305"
"2633","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/173834","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","21-Aug-2026","MANJUNATH M C","Payment In-Progress","198410"
"2634","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18241/2026-2027/283169","SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)","RAKESH RATHOR","SITAPUR","21-Aug-2026","MANAGER SAMITI BABURAM MUNNI DEVI BALIKA","Payment In-Progress","599975"
"2635","Punjab","Installing tube-wells and borewells","WS/MP18158/2026-2027/261347","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","26-Aug-2026","Mobera Singh","Payment In-Progress","47250"
"2636","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/181189","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","24-Aug-2026","MS NS INFRA ENTERPRISES","Payment In-Progress","1697470"
"2637","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","TIRLOCHAN","Payment In-Progress","10980"
"2638","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","HARISH CHANDRA JOSHI","Payment In-Progress","10980"
"2639","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","VINOD CHANDRA BHATT","Payment In-Progress","15150"
"2640","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","HARISH CHANDRA BHATT","Payment In-Progress","15150"
"2641","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","PAWAN BHATT","Payment In-Progress","10980"
"2642","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","NAVEEN CHANDRA BHATT","Payment In-Progress","15150"
"2643","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","BHARTI RAWAT","Payment In-Progress","8052"
"2644","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/257772","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","24-Aug-2026","Mahesh Shahi son of Tej Bahadur Shahi","Payment In-Progress","1227789"
"2645","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/257773","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","24-Aug-2026","RAKESH YADAV SON OF MAHANGU YADAV","Payment In-Progress","939599"
"2646","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","ROJALOIN BEHERA","Payment In-Progress","661978"
"2647","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP394/2026-2027/247484","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","27-Aug-2026","Rajive C K","Payment In-Progress","456779"
"2648","Himachal Pradesh","Development of public parks","WS/MP18328/2026-2027/272910","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Bhanthal","Payment In-Progress","400000"
"2649","Bihar","Construction of public toilets and bathrooms","WS/MP18367/2026-2027/274998","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","LOVELY ANAND","SHEOHAR","24-Aug-2026","BISHNU CONSTRUCTION","Payment In-Progress","497932"
"2650","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272766","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment In-Progress","50000"
"2651","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272607","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment In-Progress","50000"
"2652","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272608","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment In-Progress","100000"
"2653","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2026-2027/273887","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","27-Aug-2026","Chanchal Singh","Payment In-Progress","185900"
"2654","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241234","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","29-Aug-2026","ADITYA ENTERPRISES","Payment In-Progress","299838"
"2655","Jammu And Kashmir","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP600/2026-2027/273901","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","27-Aug-2026","Shankar Singh","Payment In-Progress","133700"
